                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.1552,                0.79412,                 0.9688,                0.69893,                0.27731,                0.32787,                0.21117,                    nan,                    nan,                    nan,              0.0011744,              0.0011744,              0.0011744
                     38,                 1.1521,                0.78334,                0.97015,                0.75283,                0.27587,                0.31313,                0.20043,                    nan,                    nan,                    nan,              0.0011673,              0.0011673,              0.0011673
                     39,                 1.1298,                0.75998,                0.97514,                0.69005,                0.23971,                 0.3121,                0.21306,                    nan,                    nan,                    nan,              0.0011602,              0.0011602,              0.0011602
                     40,                 1.1619,                0.78465,                0.95816,                0.73828,                0.28328,                0.32715,                 0.2139,                    nan,                    nan,                    nan,              0.0011531,              0.0011531,              0.0011531
                     41,                 1.1487,                0.76446,                0.97804,                 0.7481,                0.27379,                0.31764,                0.19927,                    nan,                    nan,                    nan,              0.0011461,              0.0011461,              0.0011461
                     42,                 1.1145,                0.71782,                0.96531,                0.73112,                0.28801,                0.33345,                0.22953,                    nan,                    nan,                    nan,               0.001139,               0.001139,               0.001139
                     43,                 1.0613,                0.72318,                0.94093,                 0.7901,                0.28294,                0.34656,                0.22863,                    nan,                    nan,                    nan,              0.0011319,              0.0011319,              0.0011319
                     44,                 1.1545,                0.76837,                0.95703,                0.88193,                  0.271,                0.33486,                0.21787,                    nan,                    nan,                    nan,              0.0011248,              0.0011248,              0.0011248
                     45,                 1.0369,                0.68405,                0.95402,                0.77461,                0.27609,                0.32102,                0.21391,                    nan,                    nan,                    nan,              0.0011178,              0.0011178,              0.0011178
                     46,                 1.0603,                0.72573,                0.95859,                 0.7278,                 0.2809,                0.33763,                0.23001,                    nan,                    nan,                    nan,              0.0011107,              0.0011107,              0.0011107
                     47,                 1.1912,                0.78349,                0.96585,                0.69757,                 0.2761,                0.33548,                0.22376,                    nan,                    nan,                    nan,              0.0011036,              0.0011036,              0.0011036
                     48,                0.99737,                0.67292,                0.95128,                0.83845,                0.29514,                0.36404,                0.24641,                    nan,                    nan,                    nan,              0.0010965,              0.0010965,              0.0010965
                     49,                 1.0048,                0.65417,                0.93644,                0.70223,                0.28199,                0.35242,                 0.2448,                    nan,                    nan,                    nan,              0.0010895,              0.0010895,              0.0010895
                     50,                0.99655,                0.69106,                0.94543,                0.81692,                 0.2887,                0.33906,                0.22426,                    nan,                    nan,                    nan,              0.0010824,              0.0010824,              0.0010824
                     51,                 1.0765,                0.68035,                0.94051,                 0.7857,                0.28004,                0.35487,                0.23868,                    nan,                    nan,                    nan,              0.0010753,              0.0010753,              0.0010753
                     52,                 1.0402,                0.67513,                0.94517,                0.80999,                0.28758,                0.36006,                0.24215,                    nan,                    nan,                    nan,              0.0010682,              0.0010682,              0.0010682
                     53,                0.95797,                0.63312,                0.92295,                0.84583,                0.28119,                0.35243,                0.23874,                    nan,                    nan,                    nan,              0.0010612,              0.0010612,              0.0010612
                     54,                 1.0153,                0.68047,                0.94188,                0.85113,                0.28653,                0.36131,                0.24737,                    nan,                    nan,                    nan,              0.0010541,              0.0010541,              0.0010541
                     55,                 1.0211,                0.68541,                0.95307,                0.70645,                0.28311,                0.35385,                0.21896,                    nan,                    nan,                    nan,               0.001047,               0.001047,               0.001047
                     56,                 1.0033,                0.66335,                0.94807,                0.84479,                0.28575,                0.29641,                0.19887,                    nan,                    nan,                    nan,                0.00104,                0.00104,                0.00104
                     57,                 1.0079,                0.65063,                0.94351,                0.89995,                0.28651,                0.37297,                0.25193,                    nan,                    nan,                    nan,              0.0010329,              0.0010329,              0.0010329
                     58,                0.94016,                0.62018,                0.91842,                0.70046,                0.28354,                 0.3529,                0.24049,                    nan,                    nan,                    nan,              0.0010258,              0.0010258,              0.0010258
                     59,                0.99796,                  0.646,                0.93831,                  0.895,                0.28839,                0.37168,                0.26134,                    nan,                    nan,                    nan,              0.0010187,              0.0010187,              0.0010187
                     60,                0.98906,                 0.6374,                0.92954,                 0.7025,                0.29249,                0.35259,                0.23991,                    nan,                    nan,                    nan,              0.0010117,              0.0010117,              0.0010117
                     61,                0.98986,                0.68144,                0.92768,                 0.9149,                0.29031,                0.36428,                 0.2484,                    nan,                    nan,                    nan,              0.0010046,              0.0010046,              0.0010046
                     62,                 0.9594,                0.64884,                 0.9232,                0.75532,                 0.2931,                0.37503,                0.26535,                    nan,                    nan,                    nan,             0.00099751,             0.00099751,             0.00099751
                     63,                0.90115,                0.62593,                0.91809,                0.84358,                0.29655,                0.36352,                0.24995,                    nan,                    nan,                    nan,             0.00099044,             0.00099044,             0.00099044
                     64,                0.97215,                0.63343,                0.93173,                0.67687,                0.28867,                0.37114,                0.24652,                    nan,                    nan,                    nan,             0.00098337,             0.00098337,             0.00098337
                     65,                 1.0735,                 0.6512,                0.93497,                0.84335,                0.30307,                0.37493,                0.26395,                    nan,                    nan,                    nan,             0.00097629,             0.00097629,             0.00097629
                     66,                0.96776,                0.60078,                0.91271,                0.81682,                0.30388,                0.37107,                0.24714,                    nan,                    nan,                    nan,             0.00096922,             0.00096922,             0.00096922
                     67,                0.93334,                0.60403,                0.92557,                0.87756,                0.29819,                0.38575,                0.26672,                    nan,                    nan,                    nan,             0.00096215,             0.00096215,             0.00096215
                     68,                 0.9464,                0.62959,                 0.9197,                0.83049,                0.30554,                0.38111,                0.26223,                    nan,                    nan,                    nan,             0.00095507,             0.00095507,             0.00095507
                     69,                0.93612,                0.60818,                0.90865,                0.91766,                 0.2945,                0.32915,                0.23234,                    nan,                    nan,                    nan,               0.000948,               0.000948,               0.000948
                     70,                0.93249,                0.57469,                0.91632,                0.76572,                 0.3012,                0.38382,                0.26926,                    nan,                    nan,                    nan,             0.00094093,             0.00094093,             0.00094093
                     71,                0.99013,                0.63585,                0.92395,                0.89544,                0.29177,                 0.3986,                0.28377,                    nan,                    nan,                    nan,             0.00093385,             0.00093385,             0.00093385
                     72,                0.87979,                0.56219,                0.89555,                0.86323,                0.28531,                 0.3783,                0.26259,                    nan,                    nan,                    nan,             0.00092678,             0.00092678,             0.00092678
