                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.4349,                 4.6714,                 3.8731,                0.00034,                0.00932,                0.00025,                  3e-05,                 5.9844,                 6.3225,                 4.1005,             0.00046751,             0.00046751,             0.00046751
                      2,                 3.3193,                 2.7783,                 2.6123,                0.00028,                0.00455,                0.00016,                  2e-05,                 6.1874,                 6.5242,                 4.5247,             0.00094198,             0.00094198,             0.00094198
                      3,                 2.7461,                 2.2607,                 1.9316,                0.15652,                0.15533,                0.10411,                0.04003,                 3.2435,                 3.0302,                 2.1222,              0.0014146,              0.0014146,              0.0014146
                      4,                 2.3627,                  2.082,                 1.6244,                0.20266,                0.29745,                0.19071,                0.07114,                 2.3429,                 2.7423,                 1.5959,              0.0014205,              0.0014205,              0.0014205
                      5,                 2.1625,                 1.8949,                 1.4816,                0.26902,                0.35479,                0.26542,                0.12433,                 1.9772,                 2.0107,                 1.4699,              0.0014177,              0.0014177,              0.0014177
                      6,                 1.9744,                 1.7733,                 1.3727,                0.26906,                 0.3633,                0.29102,                0.14375,                 1.8243,                 1.7674,                 1.3342,              0.0014149,              0.0014149,              0.0014149
                      7,                  1.853,                 1.6305,                 1.3053,                0.36833,                0.43858,                0.38046,                0.19753,                 1.5996,                 1.6073,                 1.2024,               0.001412,               0.001412,               0.001412
                      8,                 1.7783,                 1.5411,                 1.2539,                0.38816,                0.48548,                0.42328,                0.20789,                 1.7412,                 1.5823,                 1.2345,              0.0014092,              0.0014092,              0.0014092
                      9,                 1.6534,                 1.4295,                 1.2346,                0.50559,                0.53372,                0.51498,                0.28433,                 1.5642,                  1.306,                 1.1741,              0.0014064,              0.0014064,              0.0014064
                     10,                 1.4909,                 1.3066,                 1.1472,                 0.5297,                  0.548,                0.54187,                0.29795,                 1.5326,                 1.2035,                 1.1226,              0.0014035,              0.0014035,              0.0014035
                     11,                 1.5586,                 1.2651,                 1.1476,                0.43877,                0.49185,                0.47881,                0.25898,                 1.5059,                 1.5692,                 1.1224,              0.0014007,              0.0014007,              0.0014007
                     12,                 1.4543,                 1.2152,                   1.14,                0.53969,                0.55306,                0.52625,                0.31921,                 1.4495,                 1.1511,                 1.0984,              0.0013979,              0.0013979,              0.0013979
                     13,                 1.4579,                 1.1961,                 1.1355,                0.72811,                0.64322,                0.68053,                0.36367,                 1.3611,                 1.0677,                 1.0925,               0.001395,               0.001395,               0.001395
                     14,                 1.3439,                 1.0652,                 1.1078,                0.76235,                0.62729,                0.71423,                0.42549,                  1.266,                0.90108,                 1.0408,              0.0013922,              0.0013922,              0.0013922
                     15,                 1.3279,                 1.0693,                 1.0938,                0.74345,                0.68487,                0.71843,                0.42365,                 1.2435,                0.99677,                 1.0413,              0.0013894,              0.0013894,              0.0013894
                     16,                   1.28,                0.99078,                 1.0681,                0.77971,                0.71565,                0.76121,                0.47607,                 1.0964,                0.81693,                0.97788,              0.0013866,              0.0013866,              0.0013866
                     17,                 1.2835,                0.99631,                 1.0746,                0.86208,                0.73125,                0.79553,                0.45859,                 1.2897,                 0.8206,                 1.0145,              0.0013837,              0.0013837,              0.0013837
                     18,                 1.2478,                0.94945,                  1.052,                0.82151,                0.76897,                0.81836,                0.47829,                 1.2591,                0.90571,                 1.0149,              0.0013809,              0.0013809,              0.0013809
                     19,                 1.2663,                0.97784,                  1.056,                0.83194,                0.76246,                0.81701,                0.50047,                 1.1085,                0.76768,                 0.9781,              0.0013781,              0.0013781,              0.0013781
                     20,                 1.2205,                 0.9334,                 1.0369,                0.82086,                0.76824,                0.81524,                0.50872,                 1.0922,                0.78509,                0.98289,              0.0013752,              0.0013752,              0.0013752
                     21,                 1.1733,                0.89324,                 1.0378,                  0.811,                0.72968,                0.79168,                0.49819,                 1.1421,                0.83353,                0.98429,              0.0013724,              0.0013724,              0.0013724
                     22,                 1.1968,                0.90664,                 1.0163,                0.75032,                0.76258,                0.82378,                0.54213,                 1.0192,                0.73957,                0.93917,              0.0013696,              0.0013696,              0.0013696
                     23,                 1.1683,                0.86606,                 1.0188,                0.83737,                0.76823,                0.80778,                0.50674,                 1.1245,                0.72102,                0.95155,              0.0013668,              0.0013668,              0.0013668
                     24,                 1.1734,                0.83316,                 1.0219,                0.84846,                0.74689,                0.81787,                0.49267,                 1.1173,                0.75759,                0.95694,              0.0013639,              0.0013639,              0.0013639
                     25,                 1.1379,                 0.8142,                 1.0158,                0.87092,                0.76534,                0.84667,                0.52456,                 1.0657,                0.76186,                0.93991,              0.0013611,              0.0013611,              0.0013611
                     26,                 1.1098,                0.79875,                0.99832,                0.85737,                0.78959,                0.84349,                0.54698,                 1.0081,                0.69368,                0.93834,              0.0013583,              0.0013583,              0.0013583
                     27,                 1.0726,                0.81156,                 1.0021,                0.87356,                0.81187,                0.86387,                  0.542,                 1.0103,                0.65474,                0.93221,              0.0013554,              0.0013554,              0.0013554
                     28,                 1.0402,                0.77004,                0.99766,                 0.9114,                0.80293,                0.86131,                0.56854,                0.98192,                0.64704,                0.93263,              0.0013526,              0.0013526,              0.0013526
                     29,                 1.0578,                0.81614,                0.99282,                0.84958,                0.81297,                0.85283,                0.58195,                0.93759,                0.67248,                0.92327,              0.0013498,              0.0013498,              0.0013498
                     30,                 1.0535,                0.77537,                0.99235,                 0.8957,                0.81247,                0.86134,                0.58852,                0.96729,                0.63228,                0.92145,              0.0013469,              0.0013469,              0.0013469
                     31,                 1.1021,                0.75978,                 1.0034,                0.90386,                0.81666,                0.86341,                0.59007,                0.91069,                0.58054,                0.90589,              0.0013441,              0.0013441,              0.0013441
                     32,                 1.0333,                0.76916,                0.98917,                0.90962,                0.80857,                0.86332,                 0.5765,                 0.9685,                0.60125,                0.91266,              0.0013413,              0.0013413,              0.0013413
                     33,                 1.0333,                0.76823,                0.98144,                0.89835,                0.78315,                0.85207,                0.56055,                0.96619,                0.63232,                0.90769,              0.0013385,              0.0013385,              0.0013385
                     34,                0.98447,                0.73063,                0.97203,                0.90735,                0.81829,                0.88577,                0.62481,                0.87123,                0.57494,                0.90029,              0.0013356,              0.0013356,              0.0013356
                     35,                0.97951,                0.73126,                0.98831,                0.91724,                0.82439,                0.87194,                0.57225,                0.98359,                0.56981,                0.90759,              0.0013328,              0.0013328,              0.0013328
                     36,                0.99461,                0.69739,                0.95821,                0.81867,                0.77656,                0.84828,                0.56677,                0.99938,                0.66905,                0.92321,                0.00133,                0.00133,                0.00133
                     37,                0.99685,                0.72677,                0.95968,                0.89398,                0.79352,                0.85671,                0.59792,                0.90888,                 0.6634,                0.89734,              0.0013271,              0.0013271,              0.0013271
                     38,                0.97554,                0.68417,                0.95792,                0.93624,                0.81825,                0.90144,                 0.6181,                0.88417,                0.53938,                0.89418,              0.0013243,              0.0013243,              0.0013243
                     39,                0.96369,                0.68977,                0.95945,                0.95316,                0.81788,                 0.8859,                0.62047,                0.84388,                0.53048,                 0.8846,              0.0013215,              0.0013215,              0.0013215
                     40,                0.95395,                0.68396,                0.96674,                  0.902,                0.82285,                0.88172,                0.60087,                0.86498,                0.55826,                0.88599,              0.0013187,              0.0013187,              0.0013187
