                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.98016,                0.69295,                0.96946,                0.79376,                0.17651,                 0.2375,                0.16829,                    nan,                    nan,                    nan,              0.0013271,              0.0013271,              0.0013271
                     38,                0.90873,                0.63334,                0.94864,                0.78088,                0.18075,                0.22832,                0.15648,                    nan,                    nan,                    nan,              0.0013243,              0.0013243,              0.0013243
                     39,                0.93696,                0.67069,                0.96832,                0.81434,                0.18485,                0.27858,                0.17576,                    nan,                    nan,                    nan,              0.0013215,              0.0013215,              0.0013215
                     40,                0.97747,                0.67773,                0.95788,                0.87576,                0.18975,                0.26644,                0.18667,                    nan,                    nan,                    nan,              0.0013187,              0.0013187,              0.0013187
                     41,                 0.9238,                0.64522,                0.94348,                0.75448,                0.19032,                0.28173,                0.19493,                    nan,                    nan,                    nan,              0.0013158,              0.0013158,              0.0013158
                     42,                0.91916,                0.64927,                0.96264,                0.74536,                0.18661,                0.28839,                0.20599,                    nan,                    nan,                    nan,               0.001313,               0.001313,               0.001313
                     43,                0.93072,                0.63321,                0.94238,                0.82655,                0.19309,                0.29162,                0.21689,                    nan,                    nan,                    nan,              0.0013102,              0.0013102,              0.0013102
                     44,                0.88067,                0.60032,                0.93509,                0.83137,                0.18587,                0.29015,                0.20972,                    nan,                    nan,                    nan,              0.0013073,              0.0013073,              0.0013073
                     45,                0.95034,                0.66848,                0.95383,                0.81642,                0.19729,                0.25314,                0.17436,                    nan,                    nan,                    nan,              0.0013045,              0.0013045,              0.0013045
                     46,                0.88974,                0.59462,                 0.9524,                 0.8557,                0.19714,                0.25936,                0.17982,                    nan,                    nan,                    nan,              0.0013017,              0.0013017,              0.0013017
                     47,                0.90861,                0.61214,                0.94842,                0.84446,                0.19703,                0.24059,                0.17143,                    nan,                    nan,                    nan,              0.0012988,              0.0012988,              0.0012988
                     48,                0.98966,                0.63979,                0.96549,                0.73348,                0.18934,                0.23301,                0.16573,                    nan,                    nan,                    nan,               0.001296,               0.001296,               0.001296
                     49,                0.89259,                0.59656,                0.94135,                0.85879,                0.19779,                 0.3216,                0.23254,                    nan,                    nan,                    nan,              0.0012932,              0.0012932,              0.0012932
                     50,                0.88304,                0.59197,                0.93859,                0.79303,                0.19633,                0.29242,                0.20832,                    nan,                    nan,                    nan,              0.0012904,              0.0012904,              0.0012904
                     51,                0.86986,                0.57416,                0.93598,                0.90158,                0.19345,                0.28613,                0.20427,                    nan,                    nan,                    nan,              0.0012875,              0.0012875,              0.0012875
                     52,                0.83005,                0.59031,                0.94178,                0.78949,                0.19571,                0.30812,                0.21557,                    nan,                    nan,                    nan,              0.0012847,              0.0012847,              0.0012847
                     53,                0.87127,                0.60107,                0.93453,                 0.8463,                0.19147,                 0.3161,                0.22197,                    nan,                    nan,                    nan,              0.0012819,              0.0012819,              0.0012819
                     54,                0.89872,                0.59104,                0.93762,                0.91431,                 0.2029,                0.32359,                0.23498,                    nan,                    nan,                    nan,               0.001279,               0.001279,               0.001279
                     55,                0.85145,                0.57242,                0.94046,                0.87976,                0.18528,                0.32633,                0.22953,                    nan,                    nan,                    nan,              0.0012762,              0.0012762,              0.0012762
                     56,                0.86424,                0.58082,                0.92543,                0.78927,                0.19788,                0.29172,                0.20794,                    nan,                    nan,                    nan,              0.0012734,              0.0012734,              0.0012734
                     57,                0.82755,                 0.5562,                0.93194,                0.79945,                0.18966,                 0.3015,                 0.2126,                    nan,                    nan,                    nan,              0.0012706,              0.0012706,              0.0012706
                     58,                0.85771,                0.58281,                 0.9294,                 0.8623,                0.19151,                0.25282,                0.18476,                    nan,                    nan,                    nan,              0.0012677,              0.0012677,              0.0012677
                     59,                0.81754,                0.56756,                0.92063,                0.87058,                0.19632,                0.31262,                0.22993,                    nan,                    nan,                    nan,              0.0012649,              0.0012649,              0.0012649
                     60,                0.81964,                0.54386,                0.91474,                0.73441,                0.18669,                 0.2745,                0.19467,                    nan,                    nan,                    nan,              0.0012621,              0.0012621,              0.0012621
                     61,                0.81093,                0.54155,                0.91408,                0.78598,                0.19705,                0.29278,                0.21444,                    nan,                    nan,                    nan,              0.0012592,              0.0012592,              0.0012592
                     62,                0.80232,                0.54298,                0.92068,                 0.8137,                0.20105,                 0.3024,                0.22561,                    nan,                    nan,                    nan,              0.0012564,              0.0012564,              0.0012564
                     63,                0.79441,                0.52739,                0.90269,                0.84101,                0.20061,                0.28091,                0.20476,                    nan,                    nan,                    nan,              0.0012536,              0.0012536,              0.0012536
                     64,                0.79266,                0.51702,                0.91126,                0.92534,                0.19674,                0.32959,                0.24094,                    nan,                    nan,                    nan,              0.0012507,              0.0012507,              0.0012507
                     65,                 0.8206,                0.54021,                0.92331,                0.96046,                0.19529,                0.32754,                0.23765,                    nan,                    nan,                    nan,              0.0012479,              0.0012479,              0.0012479
                     66,                0.80481,                0.55527,                0.91474,                0.82905,                0.19624,                0.22498,                0.15873,                    nan,                    nan,                    nan,              0.0012451,              0.0012451,              0.0012451
                     67,                0.77316,                0.54114,                0.92229,                0.89809,                0.19432,                0.30687,                0.22948,                    nan,                    nan,                    nan,              0.0012423,              0.0012423,              0.0012423
                     68,                0.79101,                0.52916,                0.91469,                0.73154,                0.19712,                0.30685,                0.22553,                    nan,                    nan,                    nan,              0.0012394,              0.0012394,              0.0012394
                     69,                0.76933,                0.53846,                0.91422,                0.90052,                0.19313,                0.30111,                0.22379,                    nan,                    nan,                    nan,              0.0012366,              0.0012366,              0.0012366
                     70,                0.77473,                0.53572,                0.91261,                0.86735,                0.19978,                0.33158,                0.25001,                    nan,                    nan,                    nan,              0.0012338,              0.0012338,              0.0012338
                     71,                0.77167,                0.51741,                0.91414,                 0.9003,                0.20395,                0.35497,                0.26687,                    nan,                    nan,                    nan,              0.0012309,              0.0012309,              0.0012309
                     72,                0.81994,                 0.5277,                0.91565,                0.67444,                0.17722,                0.27664,                0.20009,                    nan,                    nan,                    nan,              0.0012281,              0.0012281,              0.0012281
                     73,                0.75751,                0.50293,                0.90736,                0.86458,                0.20577,                0.32024,                 0.2424,                    nan,                    nan,                    nan,              0.0012253,              0.0012253,              0.0012253
                     74,                0.81443,                0.54731,                0.92459,                0.83811,                0.19968,                0.28727,                0.21572,                    nan,                    nan,                    nan,              0.0012225,              0.0012225,              0.0012225
                     75,                0.79671,                0.54283,                0.91635,                0.78902,                0.19771,                0.30554,                0.21542,                    nan,                    nan,                    nan,              0.0012196,              0.0012196,              0.0012196
                     76,                0.75473,                0.50919,                0.90508,                0.95443,                0.19615,                0.29888,                0.22448,                    nan,                    nan,                    nan,              0.0012168,              0.0012168,              0.0012168
                     77,                0.78269,                 0.5405,                0.93018,                0.86548,                0.20202,                0.28051,                0.20046,                    nan,                    nan,                    nan,               0.001214,               0.001214,               0.001214
                     78,                0.74962,                0.49136,                0.89378,                0.89033,                0.20266,                0.32863,                0.25191,                    nan,                    nan,                    nan,              0.0012111,              0.0012111,              0.0012111
                     79,                0.75844,                0.50674,                 0.9099,                0.88147,                0.19808,                0.33667,                0.25459,                    nan,                    nan,                    nan,              0.0012083,              0.0012083,              0.0012083
                     80,                0.75427,                0.49525,                0.91187,                 0.8311,                0.20067,                0.34171,                0.25317,                    nan,                    nan,                    nan,              0.0012055,              0.0012055,              0.0012055
                     81,                0.78089,                0.51657,                0.90559,                0.89546,                0.20001,                0.33689,                0.25272,                    nan,                    nan,                    nan,              0.0012026,              0.0012026,              0.0012026
                     82,                0.76322,                0.50876,                0.90567,                0.89852,                0.19646,                0.30653,                0.21913,                    nan,                    nan,                    nan,              0.0011998,              0.0011998,              0.0011998
                     83,                0.77614,                0.48601,                0.91142,                0.89753,                0.20202,                0.33517,                0.25389,                    nan,                    nan,                    nan,               0.001197,               0.001197,               0.001197
                     84,                0.74783,                0.47924,                0.89448,                0.88043,                0.19922,                0.30366,                0.23434,                    nan,                    nan,                    nan,              0.0011942,              0.0011942,              0.0011942
                     85,                 0.7318,                0.48357,                0.89614,                0.86689,                0.20193,                0.33752,                0.25102,                    nan,                    nan,                    nan,              0.0011913,              0.0011913,              0.0011913
                     86,                0.74163,                0.48173,                0.89964,                0.82716,                0.20964,                0.31378,                0.23335,                    nan,                    nan,                    nan,              0.0011885,              0.0011885,              0.0011885
                     87,                0.72152,                0.47091,                0.88544,                0.89476,                0.20202,                0.34884,                0.26585,                    nan,                    nan,                    nan,              0.0011857,              0.0011857,              0.0011857
                     88,                0.74798,                0.48638,                0.89679,                0.88354,                0.20059,                0.35359,                0.25977,                    nan,                    nan,                    nan,              0.0011828,              0.0011828,              0.0011828
                     89,                0.71441,                0.49621,                0.90841,                0.88455,                0.20146,                0.35356,                0.26813,                    nan,                    nan,                    nan,                0.00118,                0.00118,                0.00118
                     90,                0.72133,                0.47863,                0.90421,                0.91618,                0.20034,                0.33104,                0.25089,                    nan,                    nan,                    nan,              0.0011772,              0.0011772,              0.0011772
                     91,                0.72745,                0.48432,                0.90722,                0.83412,                0.20614,                0.35027,                0.26198,                    nan,                    nan,                    nan,              0.0011744,              0.0011744,              0.0011744
                     92,                0.73488,                0.48918,                 0.9028,                0.88648,                0.20286,                0.27189,                0.19948,                    nan,                    nan,                    nan,              0.0011715,              0.0011715,              0.0011715
                     93,                0.72064,                  0.498,                 0.9015,                0.94649,                0.19905,                0.31559,                 0.2351,                    nan,                    nan,                    nan,              0.0011687,              0.0011687,              0.0011687
                     94,                0.74303,                0.49835,                0.90661,                0.90648,                0.18589,                0.22283,                0.16753,                    nan,                    nan,                    nan,              0.0011659,              0.0011659,              0.0011659
                     95,                0.70964,                0.47379,                0.90353,                0.87657,                0.20112,                0.28939,                0.22039,                    nan,                    nan,                    nan,               0.001163,               0.001163,               0.001163
                     96,                0.73707,                0.48273,                 0.9038,                0.88953,                0.20202,                0.33088,                0.25588,                    nan,                    nan,                    nan,              0.0011602,              0.0011602,              0.0011602
                     97,                0.73506,                 0.4787,                0.89931,                0.85771,                 0.2023,                0.33615,                0.25763,                    nan,                    nan,                    nan,              0.0011574,              0.0011574,              0.0011574
                     98,                0.70359,                0.46856,                 0.8998,                0.89067,                0.20184,                0.36145,                0.27638,                    nan,                    nan,                    nan,              0.0011545,              0.0011545,              0.0011545
                     99,                0.70306,                0.44425,                 0.8959,                0.91548,                0.20191,                0.36187,                0.27184,                    nan,                    nan,                    nan,              0.0011517,              0.0011517,              0.0011517
                    100,                0.72966,                0.48344,                0.91178,                0.89599,                0.20191,                0.34836,                0.27324,                    nan,                    nan,                    nan,              0.0011489,              0.0011489,              0.0011489
                    101,                0.71237,                0.46762,                0.88108,                0.93251,                0.19903,                0.33857,                0.26386,                    nan,                    nan,                    nan,              0.0011461,              0.0011461,              0.0011461
                    102,                0.69262,                0.46336,                0.88885,                 0.8712,                0.20386,                0.35272,                0.27337,                    nan,                    nan,                    nan,              0.0011432,              0.0011432,              0.0011432
